"denoliver""	""joakimunge/denoliver""	""https://github.com/joakimunge/denoliver""	""39""	""2""	""39""	""1""	""false""	""A simple, dependency free static file server for Deno with possibly the worst name ever."
"oak-graphql""	""aaronwlee/oak-graphql""	""https://github.com/aaronwlee/oak-graphql""	""38""	""6""	""38""	""6""	""false""	""A simple graphql middleware for oak deno framework."
"dex""	""denjucks/dex""	""https://github.com/denjucks/dex""	""37""	""4""	""37""	""2""	""false""	""Dex: An SQL query builder port of Knex for Deno"
"deku""	""yisar/deku""	""https://github.com/yisar/deku""	""37""	""3""	""37""	""2""	""false""	""⛄️ No-bundle Dev Server for ES modules with deno."
"superdeno""	""asos-craigmorten/superdeno""	""https://github.com/asos-craigmorten/superdeno""	""37""	""2""	""37""	""1""	""false""	""Super-agent driven library for testing Deno HTTP servers."
"garn-validator""	""jupegarnica/garn-validator""	""https://github.com/jupegarnica/garn-validator""	""36""	""1""	""36""	""1""	""false""	""Create validations with ease"
"i18next-locize-backend""	""locize/i18next-locize-backend""	""https://github.com/locize/i18next-locize-backend""	""35""	""18""	""35""	""2""	""false""	""A simple i18next backend for locize.com which can be used in Node.js, in the browser and for Deno."
"espresso""	""disizali/espresso""	""https://github.com/disizali/espresso""	""34""	""7""	""34""	""7""	""false""	""Minimal web framework for Deno"
"deno-imagemagick""	""leonelv/deno-imagemagick""	""https://github.com/leonelv/deno-imagemagick""	""34""	""2""	""34""	""1""	""false""	""Deno port of the WASM library for ImageMagick"
"nano""	""nanojsx/nano""	""https://github.com/nanojsx/nano""	""34""	""0""	""34""	""1""	""false""	""🎯 SSR first, lightweight 1kB JSX library."
"deno_starter""	""justjavac/deno_starter""	""https://github.com/justjavac/deno_starter""	""33""	""3""	""33""	""1""	""false""	""deno starter for creating a module"
"dep""	""denodep/dep""	""https://github.com/denodep/dep""	""33""	""1""	""33""	""3""	""false""	""Deno dependency management tool."
"deno-plugin-prepare""	""manyuanrong/deno-plugin-prepare""	""https://github.com/manyuanrong/deno-plugin-prepare""	""32""	""13""	""32""	""1""	""false""	""A library for managing deno native plugin dependencies"
"deno_brotli""	""denosaurs/deno_brotli""	""https://github.com/denosaurs/deno_brotli""	""32""	""3""	""32""	""3""	""false""	""🗜 Brotli wasm module for deno"
"deno-websocket""	""ryo-ma/deno-websocket""	""https://github.com/ryo-ma/deno-websocket""	""32""	""2""	""32""	""1""	""false""	""🦕 A simple WebSocket library like ws of node.js library for deno"
"rimu""	""srackham/rimu""	""https://github.com/srackham/rimu""	""31""	""4""	""31""	""6""	""false""	""Readable text to HTML markup language"
"logs-js""	""apex/logs-js""	""https://github.com/apex/logs-js""	""30""	""0""	""30""	""1""	""false""	""Apex Logs client for Node, Deno, and the browser"
"deno-smtp""	""manyuanrong/deno-smtp""	""https://github.com/manyuanrong/deno-smtp""	""29""	""14""	""29""	""2""	""false""	""SMTP implements for deno"
"denjucks""	""denjucks/denjucks""	""https://github.com/denjucks/denjucks""	""29""	""4""	""29""	""2""	""false""	""Deno templating engine"
